Source,Target,Type,ID,Label,timeset,Weight
We have: 2 2's.,We have no digits.,Directed,1,,,1439
"We have: 3 2's, 3 3's.",We have: 2 2's.,Directed,2,,,256
"We have: 4 2's, 2 4's.",We have: 2 2's.,Directed,3,,,335
"We have: 4 2's, 4 3's, 4 4's.","We have: 3 2's, 3 3's.",Directed,4,,,48
"We have: 5 2's, 5 3's, 5 4's, 5 5's.","We have: 4 2's, 4 3's, 4 4's.",Directed,5,,,6
"We have: 6 2's, 4 4's, 2 6's.","We have: 4 2's, 2 4's.",Directed,6,,,33
"We have: 6 2's, 3 3's, 3 4's, 2 6's.","We have: 4 2's, 2 4's.",Directed,7,,,1
"We have: 6 2's, 4 3's, 2 4's, 2 6's.","We have: 3 2's, 3 3's.",Directed,8,,,5
"We have: 6 2's, 6 3's, 5 4's, 2 5's, 3 6's.","We have: 4 2's, 4 3's, 4 4's.",Directed,9,,,16
"We have: 6 2's, 6 3's, 6 4's, 6 5's, 6 6's.","We have: 5 2's, 5 3's, 5 4's, 5 5's.",Directed,10,,,5
"We have: 7 2's, 2 3's, 3 4's, 2 7's.","We have: 4 2's, 2 4's.",Directed,11,,,28
"We have: 7 2's, 7 3's, 4 4's, 3 6's, 3 7's.","We have: 6 2's, 4 3's, 2 4's, 2 6's.",Directed,12,,,1
"We have: 7 2's, 7 3's, 7 4's, 7 5's, 7 6's, 7 7's.","We have: 6 2's, 6 3's, 6 4's, 6 5's, 6 6's.",Directed,13,,,2
"We have: 11 1's, 6 3's, 5 4's, 6 5's, 4 6's, 1 7.","We have: 5 1's, 5 3's, 3 4's, 4 5's, 1 6.",Directed,14,,,4
"We have: 11 1's, 7 3's, 7 4's, 7 5's, 6 6's, 5 7's.","We have: 6 1's, 6 3's, 6 4's, 5 5's, 4 6's, 1 7.",Directed,15,,,1
"We have: 11 1's, 1 2, 1 3, 1 4, 1 5, 1 6, 1 7.",We have no digits.,Directed,16,,,3
"We have: 11 1's, 1 2, 6 3's, 5 4's, 6 5's, 4 6's.","We have: 5 1's, 5 3's, 3 4's, 4 5's, 1 6.",Directed,17,,,1
"We have: 11 1's, 11 2's, 4 3's, 7 4's, 5 5's, 2 6's, 4 7's.","We have: 4 1's, 7 2's, 3 3's, 4 4's, 3 5's, 1 6, 2 7's.",Directed,18,,,5
"We have: 11 1's, 12 2's, 4 3's, 3 4's, 7 5's, 2 6's, 5 7's.","We have: 5 1's, 7 2's, 2 3's, 1 4, 5 5's, 1 6, 3 7's.",Directed,19,,,10
"We have: 11 1's, 12 2's, 5 3's, 3 4's, 7 5's, 2 6's, 4 7's.","We have: 5 1's, 7 2's, 3 3's, 1 4, 5 5's, 1 6, 2 7's.",Directed,20,,,14
