"[0, 0, 2, 0, 0]"
"[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[0, 2, 3, 2, 1]"
"[0, 3, 1, 3, 1]"
"[1, 2, 3, 2, 0]"
"[1, 3, 0, 3, 1]"
"[1, 3, 1, 3, 0]"
"[0, 11, 1, 1, 1]"
"[1, 11, 0, 1, 1]"
"[1, 11, 1, 0, 1]"
"[1, 11, 1, 1, 0]"
"[2, 2, 10, 0, 0]","[0, 0, 2, 0, 0]"
"[1, 3, 2, 3, 1]"
"[1, 11, 2, 1, 1]"
"[0, 0, 4, 4, 4]","[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[0, 2, 12, 4, 2]","[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[0, 3, 11, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[1, 11, 11, 2, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[2, 10, 11, 1, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[3, 4, 4, 10, 3]","[1, 2, 3, 2, 0]"
"[3, 11, 12, 3, 0]","[2, 2, 10, 0, 0]","[0, 0, 2, 0, 0]"
"[1, 13, 3, 11, 2]","[0, 3, 1, 3, 1]"
"[2, 11, 10, 4, 3]","[0, 2, 3, 2, 1]"
"[2, 13, 3, 4, 3]","[1, 11, 1, 0, 1]"
"[2, 13, 3, 11, 1]","[1, 3, 1, 3, 0]"
"[2, 13, 4, 2, 4]","[1, 11, 1, 0, 1]"
"[3, 10, 4, 10, 3]","[0, 2, 3, 2, 1]"
"[3, 11, 10, 4, 2]","[1, 2, 3, 2, 0]"
"[4, 10, 13, 2, 2]","[2, 2, 10, 0, 0]","[0, 0, 2, 0, 0]"
"[0, 12, 14, 0, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[3, 14, 3, 10, 3]","[1, 11, 2, 1, 1]"
"[0, 12, 14, 4, 11]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[1, 13, 14, 2, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[2, 12, 21, 1, 10]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[3, 11, 20, 2, 10]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[4, 13, 11, 10, 3]","[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[3, 10, 20, 12, 3]","[0, 2, 12, 4, 2]","[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[3, 12, 20, 4, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[3, 14, 13, 4, 12]","[2, 10, 11, 1, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[3, 14, 13, 10, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 20, 13, 4, 10]","[1, 11, 11, 2, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 20, 14, 2, 11]","[2, 10, 11, 1, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[3, 22, 11, 14, 3]","[2, 13, 3, 11, 1]","[1, 3, 1, 3, 0]"
"[10, 21, 13, 12, 3]","[3, 11, 10, 4, 2]","[1, 2, 3, 2, 0]"
"[1, 21, 23, 3, 12]","[0, 12, 14, 0, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[11, 24, 10, 10, 10]","[2, 13, 3, 4, 3]","[1, 11, 1, 0, 1]"
"[2, 21, 23, 4, 14]","[1, 13, 14, 2, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[11, 24, 13, 13, 10]","[4, 13, 11, 10, 3]","[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[4, 14, 23, 14, 12]","[3, 10, 20, 12, 3]","[0, 2, 12, 4, 2]","[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[4, 21, 23, 13, 12]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[11, 20, 23, 14, 10]","[3, 10, 20, 12, 3]","[0, 2, 12, 4, 2]","[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[4, 21, 23, 13, 13]","[3, 12, 20, 4, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 22, 23, 13, 11]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 22, 24, 11, 12]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[4, 22, 23, 12, 14]","[3, 14, 13, 10, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[4, 23, 21, 13, 14]","[3, 14, 13, 10, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 22, 24, 11, 13]","[3, 12, 20, 4, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 23, 22, 13, 13]","[3, 14, 13, 4, 12]","[2, 10, 11, 1, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 24, 21, 13, 13]","[3, 14, 13, 10, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 24, 22, 11, 14]","[3, 14, 13, 10, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[11, 30, 20, 11, 14]","[3, 14, 13, 4, 12]","[2, 10, 11, 1, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[11, 31, 21, 4, 14]","[10, 20, 14, 2, 11]","[2, 10, 11, 1, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[4, 32, 14, 21, 11]","[3, 22, 11, 14, 3]","[2, 13, 3, 11, 1]","[1, 3, 1, 3, 0]"
"[11, 32, 22, 11, 11]","[10, 20, 13, 4, 10]","[1, 11, 11, 2, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[12, 24, 23, 10, 13]","[10, 20, 14, 2, 11]","[2, 10, 11, 1, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[13, 30, 20, 13, 11]","[10, 20, 13, 4, 10]","[1, 11, 11, 2, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[2, 31, 31, 12, 13]","[1, 21, 23, 3, 12]","[0, 12, 14, 0, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[4, 24, 31, 10, 20]","[1, 21, 23, 3, 12]","[0, 12, 14, 0, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[12, 31, 22, 14, 10]","[10, 21, 13, 12, 3]","[3, 11, 10, 4, 2]","[1, 2, 3, 2, 0]"
"[10, 30, 30, 12, 13]","[1, 21, 23, 3, 12]","[0, 12, 14, 0, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[3, 24, 32, 13, 21]","[2, 21, 23, 4, 14]","[1, 13, 14, 2, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[4, 30, 31, 12, 21]","[2, 21, 23, 4, 14]","[1, 13, 14, 2, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 31, 31, 12, 20]","[2, 21, 23, 4, 14]","[1, 13, 14, 2, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[11, 30, 30, 13, 20]","[2, 21, 23, 4, 14]","[1, 13, 14, 2, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[12, 33, 23, 22, 11]","[11, 24, 13, 13, 10]","[4, 13, 11, 10, 3]","[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[11, 30, 32, 22, 13]","[4, 21, 23, 13, 12]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[11, 31, 30, 23, 13]","[4, 21, 23, 13, 12]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[12, 23, 34, 22, 12]","[11, 20, 23, 14, 10]","[3, 10, 20, 12, 3]","[0, 2, 12, 4, 2]","[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[12, 31, 31, 23, 11]","[11, 20, 23, 14, 10]","[3, 10, 20, 12, 3]","[0, 2, 12, 4, 2]","[0, 0, 3, 3, 0]","[0, 0, 2, 0, 0]"
"[11, 33, 31, 21, 13]","[10, 22, 24, 11, 12]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[12, 30, 33, 22, 12]","[10, 22, 23, 13, 11]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[13, 30, 32, 20, 14]","[10, 22, 24, 11, 12]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[13, 24, 33, 20, 20]","[10, 22, 24, 11, 13]","[3, 12, 20, 4, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[13, 30, 30, 22, 20]","[4, 23, 21, 13, 14]","[3, 14, 13, 10, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[13, 32, 31, 20, 20]","[10, 24, 22, 11, 14]","[3, 14, 13, 10, 11]","[1, 3, 12, 2, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[13, 33, 24, 20, 21]","[11, 30, 20, 11, 14]","[3, 14, 13, 4, 12]","[2, 10, 11, 1, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[14, 33, 23, 23, 14]","[13, 30, 20, 13, 11]","[10, 20, 13, 4, 10]","[1, 11, 11, 2, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[14, 33, 30, 14, 21]","[12, 24, 23, 10, 13]","[10, 20, 14, 2, 11]","[2, 10, 11, 1, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[20, 33, 24, 21, 14]","[13, 30, 20, 13, 11]","[10, 20, 13, 4, 10]","[1, 11, 11, 2, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[20, 34, 30, 20, 13]","[11, 32, 22, 11, 11]","[10, 20, 13, 4, 10]","[1, 11, 11, 2, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[3, 34, 34, 21, 21]","[2, 31, 31, 12, 13]","[1, 21, 23, 3, 12]","[0, 12, 14, 0, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 34, 34, 20, 21]","[2, 31, 31, 12, 13]","[1, 21, 23, 3, 12]","[0, 12, 14, 0, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[13, 41, 31, 22, 12]","[12, 31, 22, 14, 10]","[10, 21, 13, 12, 3]","[3, 11, 10, 4, 2]","[1, 2, 3, 2, 0]"
"[14, 34, 30, 22, 14]","[12, 31, 22, 14, 10]","[10, 21, 13, 12, 3]","[3, 11, 10, 4, 2]","[1, 2, 3, 2, 0]"
"[20, 40, 31, 21, 12]","[12, 31, 22, 14, 10]","[10, 21, 13, 12, 3]","[3, 11, 10, 4, 2]","[1, 2, 3, 2, 0]"
"[12, 33, 34, 21, 20]","[10, 30, 30, 12, 13]","[1, 21, 23, 3, 12]","[0, 12, 14, 0, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[10, 32, 42, 21, 23]","[3, 24, 32, 13, 21]","[2, 21, 23, 4, 14]","[1, 13, 14, 2, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[12, 33, 42, 20, 22]","[10, 31, 31, 12, 20]","[2, 21, 23, 4, 14]","[1, 13, 14, 2, 11]","[0, 2, 12, 0, 4]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[13, 42, 31, 32, 13]","[12, 33, 23, 22, 11]","[11, 24, 13, 13, 10]","[4, 13, 11, 10, 3]","[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[14, 41, 32, 24, 20]","[12, 33, 23, 22, 11]","[11, 24, 13, 13, 10]","[4, 13, 11, 10, 3]","[2, 3, 10, 2, 1]","[0, 0, 2, 0, 0]"
"[12, 34, 34, 32, 21]","[11, 31, 30, 23, 13]","[4, 21, 23, 13, 12]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[20, 32, 41, 30, 20]","[11, 30, 32, 22, 13]","[4, 21, 23, 13, 12]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[12, 42, 41, 23, 21]","[11, 33, 31, 21, 13]","[10, 22, 24, 11, 12]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
"[14, 40, 40, 23, 22]","[11, 33, 31, 21, 13]","[10, 22, 24, 11, 12]","[3, 12, 14, 10, 10]","[0, 2, 12, 3, 3]","[0, 0, 4, 0, 2]","[0, 0, 2, 0, 0]"
