"[1313, 3122, 2233, 2133]","[1312, 3111, 2221, 2113]","[1311, 3030, 2203, 2103]","[1300, 3013, 2133, 2031]","[1223, 3002, 2130, 2012]","[1212, 2332, 2111, 2002]","[1203, 2320, 2031, 1333]","[1133, 2310, 2020, 1320]","[1122, 2233, 2003, 1303]","[1112, 2223, 1331, 1231]","[1111, 2203, 1313, 1220]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1322, 3111, 2303, 2131]","[1320, 3032, 2232, 2113]","[1311, 3022, 2213, 2101]","[1302, 3003, 2201, 2031]","[1230, 2333, 2130, 2020]","[1213, 2330, 2112, 2002]","[1203, 2313, 2033, 1332]","[1200, 2303, 2022, 1312]","[1123, 2233, 2003, 1302]","[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1323, 3102, 2303, 2133]","[1320, 3032, 2232, 2113]","[1311, 3022, 2213, 2101]","[1302, 3003, 2201, 2031]","[1230, 2333, 2130, 2020]","[1213, 2330, 2112, 2002]","[1203, 2313, 2033, 1332]","[1200, 2303, 2022, 1312]","[1123, 2233, 2003, 1302]","[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1330, 3102, 2303, 2132]","[1320, 3032, 2232, 2113]","[1311, 3022, 2213, 2101]","[1302, 3003, 2201, 2031]","[1230, 2333, 2130, 2020]","[1213, 2330, 2112, 2002]","[1203, 2313, 2033, 1332]","[1200, 2303, 2022, 1312]","[1123, 2233, 2003, 1302]","[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1330, 3103, 2301, 2133]","[1320, 3032, 2232, 2113]","[1311, 3022, 2213, 2101]","[1302, 3003, 2201, 2031]","[1230, 2333, 2130, 2020]","[1213, 2330, 2112, 2002]","[1203, 2313, 2033, 1332]","[1200, 2303, 2022, 1312]","[1123, 2233, 2003, 1302]","[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1330, 3110, 2302, 2131]","[1320, 3032, 2232, 2113]","[1311, 3022, 2213, 2101]","[1302, 3003, 2201, 2031]","[1230, 2333, 2130, 2020]","[1213, 2330, 2112, 2002]","[1203, 2313, 2033, 1332]","[1200, 2303, 2022, 1312]","[1123, 2233, 2003, 1302]","[1113, 2223, 1331, 1230]","[1111, 2210, 1320, 1212]","[1102, 2123, 1302, 1210]","[1032, 2110, 1230, 1201]","[1021, 2031, 1213, 1132]","[1012, 2011, 1202, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1331, 3102, 2312, 2122]","[1323, 3030, 2233, 2111]","[1320, 3013, 2222, 2032]","[1310, 3010, 2202, 2021]","[1232, 2333, 2130, 2012]","[1223, 2323, 2111, 2000]","[1213, 2312, 2032, 1330]","[1210, 2301, 2020, 1312]","[1133, 2223, 2002, 1303]","[1123, 2213, 1330, 1231]","[1121, 2200, 1313, 1213]","[1112, 2120, 1302, 1203]","[1102, 2101, 1230, 1200]","[1030, 2022, 1213, 1132]","[1020, 2010, 1201, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1331, 3131, 2230, 2121]","[1323, 3112, 2213, 2103]","[1321, 3100, 2201, 2031]","[1310, 3022, 2130, 2021]","[1233, 3011, 2112, 2011]","[1230, 2331, 2101, 2001]","[1213, 2313, 2030, 1331]","[1210, 2301, 2020, 1312]","[1133, 2223, 2002, 1303]","[1123, 2213, 1330, 1231]","[1121, 2200, 1313, 1213]","[1112, 2120, 1302, 1203]","[1102, 2101, 1230, 1200]","[1030, 2022, 1213, 1132]","[1020, 2010, 1201, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1332, 3033, 2303, 2133]","[1323, 3030, 2233, 2111]","[1320, 3013, 2222, 2032]","[1310, 3010, 2202, 2021]","[1232, 2333, 2130, 2012]","[1223, 2323, 2111, 2000]","[1213, 2312, 2032, 1330]","[1210, 2301, 2020, 1312]","[1133, 2223, 2002, 1303]","[1123, 2213, 1330, 1231]","[1121, 2200, 1313, 1213]","[1112, 2120, 1302, 1203]","[1102, 2101, 1230, 1200]","[1030, 2022, 1213, 1132]","[1020, 2010, 1201, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
"[1332, 3102, 2303, 2130]","[1322, 3032, 2232, 2111]","[1320, 3021, 2212, 2100]","[1303, 3010, 2133, 2031]","[1232, 2333, 2130, 2012]","[1223, 2323, 2111, 2000]","[1213, 2312, 2032, 1330]","[1210, 2301, 2020, 1312]","[1133, 2223, 2002, 1303]","[1123, 2213, 1330, 1231]","[1121, 2200, 1313, 1213]","[1112, 2120, 1302, 1203]","[1102, 2101, 1230, 1200]","[1030, 2022, 1213, 1132]","[1020, 2010, 1201, 1122]","[1002, 1331, 1123, 1121]","[333, 1310, 1113, 1111]","[331, 1222, 1112, 1033]","[323, 1203, 1101, 1022]","[313, 1131, 1030, 1012]","[303, 1111, 1022, 1001]","[232, 1031, 1013, 332]","[223, 1020, 1003, 320]","[211, 1011, 332, 310]","[202, 332, 323, 300]","[132, 331, 312, 222]","[131, 321, 300, 211]","[122, 303, 231, 201]","[113, 233, 220, 131]","[111, 222, 210, 120]","[102, 210, 132, 113]","[33, 132, 122, 110]","[31, 121, 112, 100]","[22, 102, 103, 32]","[13, 33, 32, 23]","[12, 31, 23, 11]","[11, 20, 20, 2]","[2, 11, 10, 1]","[0, 0, 2, 0]"
