"[10110011, 11100111]","[10101101, 11011011]","[10100111, 11001111]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10110101, 11100101]","[10101110, 11011010]","[10100111, 11001111]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10110110, 11100100]","[10101110, 11011010]","[10100111, 11001111]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10110111, 11100011]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10111000, 11100010]","[10101111, 11011001]","[10101001, 11001101]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10111010, 11100000]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
