"[10100111, 10111111]","[10100010, 10110010]","[10011000, 10101010]","[10001110, 10100010]","[10000100, 10011010]","[1111001, 10010011]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10101000, 10111110]","[10100000, 10110100]","[10010101, 10101101]","[10001101, 10100011]","[10000100, 10011010]","[1111001, 10010011]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10101001, 10111101]","[10100010, 10110010]","[10011000, 10101010]","[10001110, 10100010]","[10000100, 10011010]","[1111001, 10010011]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10101010, 10111100]","[10100010, 10110010]","[10011000, 10101010]","[10001110, 10100010]","[10000100, 10011010]","[1111001, 10010011]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[10101100, 10111010]","[10100100, 10110000]","[10011001, 10101001]","[10010000, 10100000]","[10000011, 10011011]","[1111010, 10010010]","[1110010, 10001001]","[1101001, 10000001]","[1011111, 1111010]","[1011011, 1101110]","[1010110, 1100011]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
