Source,Target,Type,ID,Label,timeset,Weight
We have: 2 2's.,We have no digits.,Directed,1,,,606
"We have: 3 2's, 3 3's.",We have: 2 2's.,Directed,2,,,266
"We have: 4 2's, 2 4's.",We have: 2 2's.,Directed,3,,,40
"We have: 4 2's, 4 3's, 4 4's.","We have: 3 2's, 3 3's.",Directed,4,,,111
"We have: 5 2's, 5 3's, 5 4's, 5 5's.","We have: 4 2's, 4 3's, 4 4's.",Directed,5,,,8
"We have: 11 1's, 1 2, 1 3, 1 4, 1 5.",We have no digits.,Directed,6,,,15
"We have: 11 1's, 11 2's, 3 3's, 2 4's, 3 5's.","We have: 2 1's, 5 2's, 1 4, 2 5's.",Directed,7,,,44
"We have: 12 1's, 11 2's, 11 3's, 3 4's, 4 5's.","We have: 2 1's, 5 2's, 5 3's, 1 4, 3 5's.",Directed,8,,,123
"We have: 12 1's, 12 2's, 11 3's, 3 4's, 5 5's.","We have: 3 1's, 5 2's, 5 3's, 2 4's, 3 5's.",Directed,9,,,1
"We have: 13 1's, 3 2's, 4 3's, 4 4's, 2 5's.","We have: 11 1's, 1 2, 1 3, 1 4, 1 5.",Directed,10,,,6
"We have: 13 1's, 3 2's, 5 3's, 2 4's, 3 5's.","We have: 11 1's, 1 2, 1 3, 1 4, 1 5.",Directed,11,,,8
"We have: 14 1's, 11 2's, 12 3's, 11 4's, 5 5's.","We have: 3 1's, 5 2's, 11 3's, 5 4's, 3 5's.",Directed,12,,,66
"We have: 14 1's, 13 2's, 5 3's, 3 4's, 11 5's.","We have: 5 1's, 12 2's, 2 3's, 1 4, 5 5's.",Directed,13,,,2
"We have: 14 1's, 14 2's, 11 3's, 13 4's, 4 5's.","We have: 4 1's, 13 2's, 5 3's, 5 4's, 3 5's.",Directed,14,,,15
"We have: 14 1's, 14 2's, 2 3's, 5 4's, 11 5's.","We have: 5 1's, 12 2's, 1 3, 2 4's, 5 5's.",Directed,15,,,7
"We have: 14 1's, 3 2's, 11 3's, 11 4's, 4 5's.","We have: 4 1's, 2 2's, 5 3's, 4 4's, 3 5's.",Directed,16,,,1
"We have: 14 1's, 4 2's, 11 3's, 11 4's, 3 5's.","We have: 4 1's, 3 2's, 5 3's, 4 4's, 2 5's.",Directed,17,,,4
"We have: 2 1's, 12 2's, 2 3's, 3 4's.","We have: 4 2's, 2 4's.",Directed,18,,,18
"We have: 2 1's, 3 2's, 2 3's, 1 5.",We have no digits.,Directed,19,,,11
"We have: 2 1's, 3 2's, 2 3's, 1 4.",We have no digits.,Directed,20,,,5
"We have: 2 1's, 5 2's, 1 4, 2 5's.",We have: 2 2's.,Directed,21,,,177
"We have: 2 1's, 5 2's, 1 3, 2 5's.",We have: 2 2's.,Directed,22,,,14
"We have: 2 1's, 5 2's, 5 3's, 1 4, 3 5's.","We have: 3 2's, 3 3's.",Directed,23,,,143
"We have: 22 1's, 12 2's, 13 3's, 14 4's, 4 5's.","We have: 14 1's, 4 2's, 11 3's, 11 4's, 3 5's.",Directed,24,,,2
"We have: 22 1's, 23 2's, 4 3's, 11 4's, 12 5's.","We have: 14 1's, 14 2's, 2 3's, 5 4's, 11 5's.",Directed,25,,,6
"We have: 23 1's, 15 2's, 11 3's, 5 4's, 14 5's.","We have: 14 1's, 13 2's, 5 3's, 3 4's, 11 5's.",Directed,26,,,1
"We have: 24 1's, 13 2's, 15 3's, 13 4's, 11 5's.","We have: 14 1's, 11 2's, 12 3's, 11 4's, 5 5's.",Directed,27,,,3
"We have: 3 1's, 3 3's, 1 4, 1 5.",We have no digits.,Directed,28,,,230
"We have: 3 1's, 1 2, 3 3's, 1 5.",We have no digits.,Directed,29,,,245
"We have: 3 1's, 1 2, 3 3's, 1 4.",We have no digits.,Directed,30,,,9
"We have: 3 1's, 2 2's, 3 3's, 1 4, 1 5.",We have no digits.,Directed,31,,,78
