"[23, 55, 54, 53, 44, 42]","[22, 54, 51, 50, 35, 33]","[20, 52, 44, 42, 33, 24]","[14, 51, 35, 35, 24, 22]","[13, 44, 31, 32, 21, 14]","[12, 35, 24, 24, 13, 13]","[11, 31, 20, 20, 10, 11]","[3, 20, 13, 14, 5, 10]","[0, 12, 11, 11, 3, 4]","[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[24, 54, 53, 54, 44, 42]","[23, 53, 50, 52, 33, 34]","[21, 52, 43, 42, 31, 30]","[15, 45, 35, 34, 24, 24]","[14, 43, 32, 31, 15, 20]","[12, 35, 25, 23, 12, 14]","[11, 31, 20, 20, 10, 11]","[3, 20, 13, 14, 5, 10]","[0, 12, 11, 11, 3, 4]","[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[24, 54, 53, 55, 42, 43]","[23, 53, 50, 52, 33, 34]","[21, 52, 43, 42, 31, 30]","[15, 45, 35, 34, 24, 24]","[14, 43, 32, 31, 15, 20]","[12, 35, 25, 23, 12, 14]","[11, 31, 20, 20, 10, 11]","[3, 20, 13, 14, 5, 10]","[0, 12, 11, 11, 3, 4]","[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[24, 55, 53, 52, 44, 43]","[23, 54, 50, 45, 35, 34]","[21, 53, 44, 41, 31, 25]","[20, 45, 41, 34, 23, 22]","[14, 43, 32, 31, 15, 20]","[12, 35, 25, 23, 12, 14]","[11, 31, 20, 20, 10, 11]","[3, 20, 13, 14, 5, 10]","[0, 12, 11, 11, 3, 4]","[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
"[32, 52, 100, 50, 42, 43]","[24, 50, 52, 43, 35, 40]","[21, 45, 45, 40, 31, 32]","[15, 42, 42, 33, 23, 25]","[14, 40, 33, 25, 20, 22]","[11, 34, 24, 22, 13, 20]","[5, 30, 15, 15, 10, 15]","[2, 21, 14, 13, 5, 10]","[0, 12, 11, 11, 3, 4]","[0, 2, 5, 5, 1, 3]","[0, 0, 3, 3, 0, 0]","[0, 0, 2, 0, 0, 0]"
