"[10111111, 11111111]","[10111101, 11101111]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11000001, 11111101]","[10111010, 11110010]","[10110011, 11100111]","[10101101, 11011011]","[10100111, 11001111]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11000010, 11111100]","[10111010, 11110010]","[10110011, 11100111]","[10101101, 11011011]","[10100111, 11001111]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11000011, 11111011]","[10111101, 11101111]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11000101, 11111001]","[10111110, 11101110]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11000110, 11111000]","[10111110, 11101110]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11000111, 11110111]","[11000010, 11101010]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11001000, 11110110]","[11000000, 11101100]","[10110110, 11100100]","[10101110, 11011010]","[10100111, 11001111]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11001001, 11110101]","[11000010, 11101010]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
"[11001010, 11110100]","[11000010, 11101010]","[10111001, 11100001]","[10110001, 11010111]","[10101010, 11001100]","[10100001, 11000011]","[10010111, 10111011]","[10010001, 10101111]","[10001001, 10100101]","[1111111, 10011101]","[1111011, 10010000]","[1110011, 10000111]","[1101100, 1111101]","[1100111, 1110010]","[1100001, 1101000]","[1011000, 1100001]","[1001111, 1011010]","[1001001, 1010000]","[111111, 1001010]","[111010, 1000000]","[110001, 111010]","[101011, 110010]","[100101, 101010]","[11110, 100011]","[11001, 11011]","[10101, 10011]","[10000, 1100]","[1001, 1000]","[11, 100]"
